105/05/05,1000,1810,1.81,1.81,1.81,1.81,0.00,1
105/05/06,44000,80760,1.83,1.87,1.83,1.87,+0.06,4
105/05/09,262000,536090,1.94,2.14,1.94,2.14,+0.27,16
105/05/10,351000,793590,2.26,2.35,1.93,1.93,-0.21,20
105/05/11,355000,710350,1.94,2.05,1.94,2.05,+0.12,11
105/05/12,422000,873430,2.09,2.09,1.99,2.04,-0.01,12
105/05/13,298000,608520,2.07,2.07,2.00,2.00,-0.04,10
105/05/16,20000,38400,1.92,1.92,1.92,1.92,-0.08,1
105/05/17,190000,369100,1.94,1.95,1.94,1.95,+0.03,5
105/05/18,0,0,---,---,---,---,---,0
105/05/19,23000,44650,1.95,1.95,1.93,1.93,0.00,2
105/05/20,183000,369920,2.04,2.07,2.01,2.02,+0.09,10
105/05/23,50000,97920,1.97,1.99,1.89,1.89,-0.13,5
105/05/24,53000,98530,1.85,1.89,1.84,1.89,0.00,5
105/05/25,43000,80860,1.86,1.89,1.86,1.88,-0.01,6
105/05/26,156000,294780,1.89,1.89,1.88,1.88,0.00,3
105/05/27,100000,186000,1.86,1.86,1.86,1.86,-0.02,1
105/05/30,0,0,---,---,---,---,---,0
105/05/31,20000,35600,1.78,1.78,1.78,1.78,-0.06,2
105/06/01,679000,1277200,1.86,1.92,1.86,1.92,+0.14,12
105/06/02,1384000,2664370,1.90,1.96,1.89,1.93,+0.01,22
105/06/03,588000,1139430,1.92,1.95,1.90,1.90,-0.03,19
105/06/04,12000,22210,1.88,1.88,1.83,1.83,-0.07,2
105/06/06,680000,1223000,1.80,1.80,1.79,1.80,-0.03,7
105/06/07,250000,454500,1.83,1.83,1.77,1.77,-0.03,2
105/06/08,200000,352000,1.75,1.77,1.75,1.77,0.00,2
105/06/13,0,0,---,---,---,---,---,0
105/06/14,30000,52900,1.77,1.77,1.76,1.76,-0.01,2
105/06/15,1000,1710,1.71,1.71,1.71,1.71,-0.05,1
105/06/16,70000,122300,1.74,1.75,1.74,1.75,+0.04,2
105/06/17,10000,17400,1.74,1.74,1.74,1.74,-0.01,1
105/06/20,23000,39330,1.71,1.71,1.71,1.71,-0.03,1
105/06/21,0,0,---,---,---,---,---,0
105/06/22,20000,33400,1.67,1.67,1.67,1.67,-0.01,1
105/06/23,30000,50100,1.67,1.67,1.67,1.67,0.00,1
105/06/24,1200000,2026400,1.66,1.69,1.66,1.69,+0.02,16
105/06/27,0,0,---,---,---,---,---,0
105/06/28,950000,1643500,1.73,1.73,1.73,1.73,+0.03,2
105/06/29,0,0,---,---,---,---,---,0
105/06/30,0,0,---,---,---,---,---,0
105/07/01,161000,270990,1.69,1.69,1.67,1.68,+0.01,7
105/07/04,111000,183240,1.64,1.67,1.64,1.67,-0.01,4
105/07/05,140000,237100,1.69,1.71,1.69,1.71,+0.04,3
105/07/06,90000,159800,1.73,1.79,1.73,1.79,+0.08,5
105/07/07,0,0,---,---,---,---,---,0
105/07/11,65000,113350,1.74,1.76,1.74,1.76,+0.01,3
105/07/12,125000,218850,1.77,1.77,1.75,1.75,-0.01,4
105/07/13,2000,3430,1.73,1.73,1.70,1.70,-0.05,2
105/07/14,356000,593410,1.66,1.73,1.66,1.73,+0.03,5
105/07/15,37000,62140,1.67,1.68,1.67,1.68,-0.05,2
105/07/18,616000,939820,1.64,1.64,1.47,1.50,-0.18,11
105/07/19,35000,51100,1.46,1.46,1.46,1.46,-0.04,3
105/07/20,65000,96200,1.48,1.48,1.48,1.48,+0.02,1
105/07/21,60000,88400,1.44,1.49,1.44,1.49,+0.01,2
105/07/22,40000,59200,1.48,1.48,1.48,1.48,-0.01,1
105/07/25,80000,120900,1.51,1.52,1.51,1.51,+0.03,3
105/07/26,230000,338400,1.47,1.48,1.47,1.47,-0.04,6
105/07/27,20000,28400,1.42,1.42,1.42,1.42,-0.05,1
105/07/28,0,0,---,---,---,---,---,0
105/07/29,90000,126500,1.41,1.41,1.40,1.40,-0.02,4
105/08/01,0,0,---,---,---,---,---,0
105/08/02,0,0,---,---,---,---,---,0
105/08/03,0,0,---,---,---,---,---,0
105/08/04,0,0,---,---,---,---,---,0
105/08/05,0,0,---,---,---,---,---,0
105/08/08,0,0,---,---,---,---,---,0
105/08/09,0,0,---,---,---,---,---,0
105/08/10,100000,120000,1.19,1.21,1.19,1.21,-0.05,2
105/08/11,40000,48200,1.20,1.21,1.20,1.21,0.00,2
105/08/12,60000,71400,1.18,1.20,1.18,1.20,-0.01,2
105/08/15,0,0,---,---,---,---,---,0
105/08/16,60000,70500,1.17,1.18,1.17,1.18,-0.01,2
105/08/17,100000,114500,1.14,1.15,1.14,1.15,-0.03,2
105/08/18,30000,34200,1.14,1.14,1.14,1.14,-0.01,1
105/08/19,20000,22400,1.12,1.12,1.12,1.12,-0.02,1
105/08/22,50000,55500,1.11,1.11,1.11,1.11,-0.01,1
105/08/23,0,0,---,---,---,---,---,0
105/08/24,134000,149000,1.10,1.13,1.10,1.13,+0.02,3
105/08/25,64000,70400,1.10,1.10,1.10,1.10,-0.03,1
105/08/26,0,0,---,---,---,---,---,0
105/08/29,50000,53500,1.07,1.07,1.07,1.07,-0.03,1
105/08/30,0,0,---,---,---,---,---,0
105/08/31,199000,200490,1.01,1.01,1.00,1.01,+0.01,4
105/09/01,79000,77420,0.98,0.98,0.98,0.98,-0.03,1
105/09/02,120000,120500,1.00,1.01,1.00,1.01,+0.03,4
105/09/05,10000,9800,0.98,0.98,0.98,0.98,-0.03,1
105/09/06,0,0,---,---,---,---,---,0
105/09/07,0,0,---,---,---,---,---,0
105/09/08,10000,8200,0.82,0.82,0.82,0.82,-0.14,1
105/09/09,94000,79900,0.85,0.85,0.85,0.85,+0.03,1
105/09/10,235000,203980,0.88,0.88,0.85,0.88,+0.03,3
105/09/12,183000,158300,0.86,0.87,0.86,0.87,-0.01,2
105/09/13,162000,131440,0.80,0.82,0.80,0.80,-0.07,3
105/09/14,0,0,---,---,---,---,---,0
105/09/19,0,0,---,---,---,---,---,0
105/09/20,0,0,---,---,---,---,---,0
105/09/21,0,0,---,---,---,---,---,0
105/09/22,0,0,---,---,---,---,---,0
105/09/23,0,0,---,---,---,---,---,0
105/09/26,0,0,---,---,---,---,---,0
105/09/29,0,0,---,---,---,---,---,0
105/09/30,0,0,---,---,---,---,---,0
105/10/03,0,0,---,---,---,---,---,0
105/10/04,0,0,---,---,---,---,---,0
