105/07/07,0,0,--,--,--,--,,0
105/07/11,0,0,--,--,--,--,,0
105/07/12,0,0,--,--,--,--,,0
105/07/13,0,0,--,--,--,--,,0
105/07/14,0,0,--,--,--,--,,0
105/07/15,0,0,--,--,--,--,,0
105/07/18,0,0,--,--,--,--,,0
105/07/19,0,0,--,--,--,--,,0
105/07/20,1000,1810,1.81,1.81,1.81,1.81,X,1
105/07/21,1000,1840,1.84,1.84,1.84,1.84,0.03,1
105/07/22,0,0,--,--,--,--,,0
105/07/25,0,0,--,--,--,--,,0
105/07/26,0,0,--,--,--,--,,0
105/07/27,0,0,--,--,--,--,,0
105/07/28,0,0,--,--,--,--,,0
105/07/29,1000,1850,1.85,1.85,1.85,1.85,X,1
105/08/01,1000,1870,1.87,1.87,1.87,1.87,0.02,1
105/08/02,1000,1860,1.86,1.86,1.86,1.86,-0.01,1
105/08/03,0,0,--,--,--,--,,0
